"id","name","published_brand","candidate","status","evidence","sources","reviewed_on"
"120-shot-camo-pack","120 Shot Camo Pack","Other brands","Unknown","unconfirmed — retain Other brands","Exact UPC 652009905109 and RCJP-510 identify the 12-candle package. Winco has no manufacturer assignment; the package does not show a readable brand. Neither store SKU nor military design proves a brand.","https://www.wincofireworks.com/product/120-shot-camo-pack/","2026-09-24"
"above-the-law-assortment","Above the Law","Other brands","Black Cat (candidate)","unconfirmed — retain Other brands","UPC 652009200020 / ATLAW. Retailers describe Black Cat contents; this does not establish the brand of the complete assortment. The available package photograph lacks a legible manufacturer mark.","https://www.wincofireworks.com/product/above-the-law/ | https://popalotfireworks.com/assortments/ | https://houstoncheapfireworks.com/Above-the-Law-636965689657708962-product.htm","2026-09-24"
"absolute-pyro","Absolute Pyro","Other brands","Unknown; Zenith Specialties / Power Pyro clues unresolved","unconfirmed — retain Other brands","UPC 652009906540. Winco does not supply a brand; the faint package mark is insufficient. A Zenith Specialties video does not prove the brand of the exact Square presentation.","https://www.wincofireworks.com/product/absolute-pyro/ | https://vimeo.com/40542842","2026-09-24"
"camo-smoke","Camo Smoke","Other brands","Shiu Sing (candidate)","unconfirmed — retain Other brands","UPC 652009001757 / SMM100. A USA Fireworks result attributes Shiu Sing, but there is no independent readable manufacturer/package corroboration. Keep candidate separate from confirmed brand.","https://www.wincofireworks.com/product/camo-smoke/ | https://beta2024.usa-fireworks.com/products/smokes/camo-smoke/","2026-09-24"
"confetti-blaster-24-inch","Confetti Blaster","Other brands","Unknown","unconfirmed — retain Other brands","UPC 777319994121 / NV1741 confirms the 24-inch product; no readable manufacturer logo or official brand assignment.","https://www.wincofireworks.com/product/confetti-blasters-24/","2026-09-24"
"jumbo-assorted-candles-4-pack","Jumbo Assorted Candles","Other brands","Unknown","unconfirmed — retain Other brands","UPC 111218312882 / RCLR3128A identifies the four-pack, but supplier data leaves brand empty and the photograph does not establish it.","https://www.wincofireworks.com/product/jumbo-assorted-candles/","2026-09-24"
"doggie-doo-doo","Doggie Doo Doo","Other brands","Bright Star (candidate)","unconfirmed — retain Other brands","UPC 652009903457 / NVJP345. OC Fireworks calls its item Bright Star and a 2-pack; Winco photograph shows a single novelty and packing 2/72. Retail presentation and package logo require corroboration before applying this attribution.","https://www.wincofireworks.com/product/doggie-doo-doo/ | https://ocfireworks.com/doggie-doo-doo-2pk/","2026-09-24"
"princess-power-sword","Princess Power Sword","Other brands","Thunder Pyrotechnics / Powder Keg (conflicting candidates)","unconfirmed — retain Other brands","UPC 201606802214 / FNTPF8022. Retailers attribute different manufacturers; neither similar name nor code prefix resolves the conflict.","https://www.wincofireworks.com/product/princess-sword/ | https://waterloo.crossroadsfireworks.com/fireworks/princess-power-sword/ | https://statelinefireworkstn.com/fireworks/","2026-09-24"
"pyro-city-assortment","Pyro City","Other brands","Black Cat (candidate)","unconfirmed — retain Other brands","UPC 652009001115 / ATPC-2. The Black Cat retailer listing uses ATPC; the current assortment contains mixed-brand items. Do not confuse this ID with user-confirmed Pyro City Safe and Sane.","https://www.wincofireworks.com/product/pyro-city/ | https://elevatedfireworks.com/products/pyro-city-assortment","2026-09-24"
"victory-sword","Victory Sword","Other brands","Legend / Powder Keg (conflicting candidates)","unconfirmed — retain Other brands","UPC 131611802209 / FNPK8022. Retailer attributions conflict; a readable package manufacturer or official code crosswalk is still needed.","https://www.wincofireworks.com/product/victory-sword/ | https://fireworkconnection.com/product/victory-sword-hand-held-fountain-firework/ | https://statelinefireworkstn.com/fireworks/","2026-09-24"
"whistling-chaser-8-pack","Whistling Chaser","Other brands","Unknown","unconfirmed — retain Other brands","UPC 652009002549 / SP0238A identifies the eight-pack, but the photograph and supplier record do not confirm its manufacturer.","https://www.wincofireworks.com/product/whistling-chaser/","2026-09-24"
"silent-treatment","Silent Treatment","Other brands","Unknown","unconfirmed — retain Other brands","UPC 514677002255 / FNF225. Manufacturer field is empty; a faint red mark is not legible enough to infer Fox or another brand. Name searches provided no exact official attribution.","https://www.wincofireworks.com/product/silent-treatment/","2026-09-24"
"poopy-puppy","Poopy Puppy","Boomer","Boomer","confirmed","Exact UPC 805253022271, model BM2227, and the preserved reference photograph visibly bearing BOOMER agree. Keep Boomer; it is distinct from Boom Wow.","https://usa-fireworks.com/products/novelty/poopy-puppy/ | https://www.aahfireworks.com/poopy-puppy.html | https://ocfireworks.com/poopy-puppy/","2026-09-24"
