id,name,brand,category,variant,review_scope,queries,sources,result,unapproved_candidates
star-light,Star Light,Winda,Assortments,Retail item; exact variant must be matched,Búsqueda adicional 2026-09-25 y contraste con catálogo.,2026-09-25: Star Light Winda fireworks assortment demo,,Demo Winda candidata. Falta verificar edición y composición exacta del surtido antes de aprobar.,https://www.youtube.com/watch?v=3scPct_OtaA | https://www.youtube.com/watch?v=MJDuh58FHZU
action-zone,Action Zone,Monkey Mania,Assortments,Family pack,Búsqueda adicional 2026-09-25 y contraste con catálogo.,2026-09-25: Action Zone Monkey Mania fireworks assortment demo,,Candidato Raccoon/Monkey Mania MM30003 de 2024; falta confirmar composición y edición del paquete publicado.,https://www.youtube.com/watch?v=8cpS5wa1-Ac | https://www.youtube.com/watch?v=U7BKoH1Ur1E
lets-celebrate,Let’s Celebrate,Monkey Mania,Assortments,Retail item; exact variant must be matched,Búsqueda adicional 2026-09-25 y contraste con catálogo.,2026-09-25: Lets Celebrate Monkey Mania fireworks assortment demo,,Los resultados devueltos son otros surtidos; no hay coincidencia exacta aprobada.,https://www.youtube.com/watch?v=2dHuIqzB-30 | https://www.youtube.com/watch?v=PH-5NXQctns
diwali-dazzler,Diwali Dazzler,Winda,Assortments,P0038,Búsqueda adicional 2026-09-25 y contraste con catálogo.,"Histórica: ""705108003808"" fireworks | 2026-09-25: Diwali Dazzler Winda P0038 fireworks",https://www.getwinda.com/product-page/diwali-dazzler | https://johnnyrocketsfireworks.com/products/diwalidazzler,Los candidatos son unboxing. No se confirmó demostración de los efectos de la composición exacta P0038.,https://www.youtube.com/watch?v=VZpO1bmVBFc | https://www.youtube.com/watch?v=pfswn-DHrdA
ceo-of-assortments,CEO of Assortments,Winda,Assortments,Retail item; exact variant must be matched,Búsqueda adicional 2026-09-25 y contraste con catálogo.,"Histórica: ""705108003907"" fireworks | 2026-09-25: CEO of Assortments Winda fireworks",https://www.getwinda.com/product-page/ceo-of-assortments | https://littlejsfireworks.com/product/ceo-of-assortments/ | https://nbfireworks.com/ceo-of-assortments-a-b-case/,"Los resultados prominentes son otros surtidos Winda (Primo/Notorious), sin coincidencia exacta.",https://www.youtube.com/watch?v=_7mRFmTTFgA | https://www.youtube.com/watch?v=J480JSPuqxg
no-3-cone-fountain-2-pack,No. 3 Cone Fountain,Monkey Mania,Fountains,2-cone pack,Búsqueda adicional 2026-09-25 y contraste con catálogo.,"Histórica: ""757201000062"" fireworks | 2026-09-25: Monkey Mania MM-FC06 No 3 Cone Fountain",https://www.raccoonfireworksusa.com/product-page/no-3-cone-fountain,Sin resultado exacto para Monkey Mania MM-FC06A/B de dos conos.,
flash-flood-assortment,Flash Flood,Brothers,Assortments,BP-A106,Búsqueda adicional 2026-09-25 y contraste con catálogo.,"Histórica: ""687985910601"" fireworks | 2026-09-25: Flash Flood Brothers BP-A106 fireworks",https://www.brotherspyrotechnics.com/ProductDetails/937,Candidato BP-A106 de unboxing; no se aprobó una demostración útil del surtido exacto.,https://www.youtube.com/watch?v=pnXXWb51QH8 | https://www.youtube.com/watch?v=uq9o435UW0k
solar-flare-no-3,Solar Flare #3,Black Cat,Fountains,CNBC288,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Solar Flare #3 Black Cat CNBC288 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/3-solar-wave-cone/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
120-shot-camo-pack,120 Shot Camo Pack,Unconfirmed,Roman Candles,12 candles · 120 shots total,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: 120 Shot Camo Pack  RCJP-510 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/120-shot-camo-pack/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
above-the-law-assortment,Above the Law,Unconfirmed,Assortments,ATLAW,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Above the Law  ATLAW fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/above-the-law/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
